airport,iata
"Paamiut Heliport","JFR"
"Qeqertarsuaq Heliport","JGO"
"Qaqortoq Heliport","JJU"
"Maniitsoq Airport","JSU"
"Nanortalik Heliport","JNN"
"Narsaq Heliport","JNS"
"Qaanaaq Airport","NAQ"
"Sisimiut Airport","JHS"
"Upernavik Airport","JUV"
"Qaarsut Airport","JQA"
"Ittoqqortoormiit Heliport","OBY"
"Uummannaq Heliport","UMD"
"Attu Heliport","QGQ"
"Kangaatsiaq Heliport","QPW"
"Kitsissuarsuit Heliport","QJE"
"Ilimanaq Heliport","XIQ"
"Qeqertaq Heliport","QQT"
"Ikamiut Heliport","QJI"
"Eqalugaarsuit Heliport","QFG"
"Ikerassaarsuk Heliport","QRY"
"Altenburg-Nobitz Airport","AOC"
"Riesa-Göhlis Airport","IES"
"Rechlin-Lärz Airport","REB"
"Schönhagen Airport","QXH"
"Barth Airport","BBH"
"Magdeburg ""City"" Airport","ZMG"
"Cottbus-Drewitz Airport","CBU"
"Berlin-Schönefeld Airport","SXF"
"Dresden Airport","DRS"
"Erfurt Airport","ERF"
"Frankfurt am Main Airport","FRA"
"Münster Osnabrück Airport","FMO"
"Hamburg Airport","HAM"
"Berlin-Tempelhof International Airport","THF"
"Cologne Bonn Airport","CGN"
"Düsseldorf Airport","DUS"
"Munich Airport","MUC"
"Nuremberg Airport","NUE"
"Leipzig/Halle Airport","LEJ"
"Saarbrücken Airport","SCN"
"Stuttgart Airport","STR"
"Berlin-Tegel Airport","TXL"
"Hannover Airport","HAJ"
"Bremen Airport","BRE"
"Frankfurt-Egelsbach Airport","QEF"
"Frankfurt-Hahn Airport","HHN"
"Mannheim-City Airport","MHG"
"Eisenach-Kindel Airport","EIB"
"Siegerland Airport","SGE"
"Hamburg-Finkenwerder Airport","XFW"
"Kiel-Holtenau Airport","KEL"
"Lübeck Blankensee Airport","LBC"
"Essen Mulheim Airport","ESS"
"Bielefeld Airport","BFE"
"Mönchengladbach Airport","MGL"
"Paderborn Lippstadt Airport","PAD"
"Dortmund Airport","DTM"
"Augsburg Airport","AGB"
"Oberpfaffenhofen Airport","OBF"
"Straubing Airport","RBM"
"Friedrichshafen Airport","FDH"
"Schwerin Parchim Airport","SZW"
"Bayreuth Airport","BYU"
"Burg Feuerstein Airport","URD"
"Hof-Plauen Airport","HOQ"
"Zweibrücken Airport","ZQW"
"Donaueschingen-Villingen Airport","ZQL"
"Braunschweig-Wolfsburg Airport","BWE"
"Kassel-Calden Airport","KSF"
"Bremerhaven Airport","BRV"
"Emden Airport","EME"
"Wilhelmshaven-Mariensiel Airport","WVN"
"Borkum Airport","BMK"
"Norderney Airport","NRD"
"Flensburg-Schäferhaus Airport","FLF"
"Westerland Sylt Airport","GWT"
"Spangdahlem Air Base","SPM"
"Ramstein Air Base","RMS"
"[Duplicate] Giebelstadt Army Air Field","GHF"
"Celle Airport","ZCN"
"Fritzlar Airport","FRZ"
"Hanau Army Air Field","ZNF"
"Flugplatz Kitzingen","KZG"
"Nordholz Naval Airbase","FCN"
"Geilenkirchen Air Base","GKE"
"Rostock-Laage Airport","RLG"
"Schleswig Air Base","WBG"
"Wiesbaden Army Airfield","WIE"
"Fürstenfeldbruck Air Base","FEL"
"Ingolstadt Manching Airport","IGS"
"Gütersloh Air Base","GUT"
"Memmingen Allgau Airport","FMM"
"Aachen-Merzbrück Airport","AAH"
"Karlsruhe Baden-Baden Airport","FKB"
"Weeze Airport","NRN"
"Norden-Norddeich Airport","NOD"
"Juist Airport","JUI"
"Heringsdorf Airport","HDF"
"Heide-Büsum Airport","HEI"
"Helgoland-Düne Airport","HGL"
"Rügen Airport","GTI"
"Wangerooge Airport","AGE"
"Langeoog Airport","LGO"
"Emporia Municipal Airport","EMP"
"Hunt Field","LND"
"Lahr Airport","LHA"
"Cochstedt Airport","CSO"
"Köthen Airport","KOQ"
"St. Peter-Ording Airport","PSH"
"Peenemünde Airport","PEF"
"Bitburg Airport","BBJ"
"Neumünster Airport","EUM"
"Neubrandenburg Airport","FNB"
"Baltrum Airport","BMR"
"Bonn-Hangelar Airport","BNJ"
"Andravida Air Base","PYR"
"Agrinion Air Base","AGQ"
"Dimokritos Airport","AXD"
"Nea Anchialos Airport","VOL"
"Chios Island National Airport","JKH"
"Ioannina Airport","IOA"
"Heraklion International Nikos Kazantzakis Airport","HER"
"Kastoria National Airport","KSO"
"Kithira Airport","KIT"
"Kefallinia Airport","EFL"
"Kalamata Airport","KLX"
"Kos Airport","KGS"
"Karpathos Airport","AOK"
"Ioannis Kapodistrias International Airport","CFU"
"Kasos Airport","KSJ"
"Alexander the Great International Airport","KVA"
"Filippos Airport","KZI"
"Leros Airport","LRS"
"Limnos Airport","LXS"
"Larisa Airport","LRA"
"Mikonos Airport","JMK"
"Mytilene International Airport","MJT"
"Aktion National Airport","PVK"
"Diagoras Airport","RHO"
"Araxos Airport","GPA"
"Chania International Airport","CHQ"
"Skiathos Island National Airport","JSI"
"Samos Airport","SMI"
"Sparti Airport","SPJ"
"Santorini Airport","JTR"
"Sitia Airport","JSH"
"Skiros Airport","SKU"
"Thessaloniki Macedonia International Airport","SKG"
"Zakynthos International Airport ""Dionysios Solomos""","ZTH"
"Eleftherios Venizelos International Airport","ATH"
"Athen Helenikon Airport","HEW"
"Astypalaia Airport","JTY"
"Ikaria Airport","JIK"
"Kalymnos Airport","JKL"
"Milos Airport","MLO"
"Naxos Airport","JNX"
"Paros National Airport","PAS"
"Kastelorizo Airport","KZS"
"Syros Airport","JSY"
"Porto Cheli Airport","PKH"
"Dubrovnik Airport","DBV"
"Osijek Airport","OSI"
"Pula Airport","PUY"
"Rijeka Airport","RJK"
"Split Airport","SPU"
"Zagreb Airport","ZAG"
"Zadar Airport","ZAD"
"Bol Airport","BWK"
"Lošinj Island Airport","LSZ"
"Budapest Liszt Ferenc International Airport","BUD"
"Debrecen International Airport","DEB"
"Pécs-Pogány Airport","PEV"
"Sármellék International Airport","SOB"
"Akureyri Airport","AEY"
"Egilsstaðir Airport","EGS"
"Hornafjörður Airport","HFN"
"Húsavík Airport","HZK"
"Ísafjörður Airport","IFJ"
"Keflavik International Airport","KEF"
"Patreksfjörður Airport","PFJ"
"Reykjavik Airport","RKV"
"Siglufjörður Airport","SIJ"
"Vestmannaeyjar Airport","VEY"
"Grímsey Airport","GRY"
"Thorshofn Airport","THO"
"Vopnafjörður Airport","VPN"
"Reykjahlíð Airport","MVA"
"Bildudalur Airport","BIU"
"Gjögur Airport","GJR"
"Sauðárkrókur Airport","SAK"
"Norðfjörður Airport","NOR"
"Grundarfjörður Airport","GUU"
"Isle of Man Airport","IOM"
"Crotone Airport","CRV"
"Bari Karol Wojtyła Airport","BRI"
"Foggia ""Gino Lisa"" Airport","FOG"
"Taranto-Grottaglie ""Marcello Arlotta"" Airport","TAR"
"Lecce Galatina Air Base","LCC"
"Pescara International Airport","PSR"
"Brindisi – Salento Airport","BDS"
"Lamezia Terme Airport","SUF"
"Catania-Fontanarossa Airport","CTA"
"Lampedusa Airport","LMP"
"Pantelleria Airport","PNL"
"Falcone–Borsellino Airport","PMO"
"Reggio Calabria Airport","REG"
"Vincenzo Florio Airport Trapani-Birgi","TPS"
"Sigonella Navy Air Base","NSY"
"Alghero-Fertilia Airport","AHO"
"Decimomannu Air Base","DCI"
"Cagliari Elmas Airport","CAG"
"Olbia Costa Smeralda Airport","OLB"
"Tortolì Airport","TTB"
"Malpensa International Airport","MXP"
"Il Caravaggio International Airport","BGY"
"Turin Airport","TRN"
"Villanova D'Albenga International Airport","ALL"
"Genoa Cristoforo Colombo Airport","GOA"
"Milano Linate Airport","LIN"
"Parma Airport","PMF"
